N,mergeRandom,mergeReverse,mergeAlmost
500,602,570,670
600,603,554,573
700,806,694,722
800,760,680,573
900,858,650,659
1000,815,718,737
1100,697,617,642
1200,774,683,708
1300,805,693,711
1400,795,711,719
1500,777,692,716
1600,789,701,724
1700,808,717,740
1800,826,725,754
1900,835,739,759
2000,854,750,773
2100,856,754,787
2200,854,762,785
2300,911,794,827
2400,946,840,871
2500,989,875,921
2600,1039,942,949
2700,1079,955,992
2800,1116,990,1038
2900,1206,1031,1065
3000,1201,1067,1104
3100,1262,1102,1139
3200,1316,1137,1188
3300,1331,1188,1218
3400,1364,1205,1252
3500,1433,1243,1288
3600,1455,1286,1321
3700,1491,1312,1357
3800,1556,1344,1408
3900,1577,1386,1435
4000,1630,1420,1493
4100,1654,1454,1521
4200,1719,1499,1558
4300,1771,1538,1605
4400,1810,1573,1648
4500,1845,1615,1711
4600,1888,1653,1731
4700,1943,1699,1786
4800,1991,1752,1822
4900,2059,1790,1860
5000,2097,1826,1897
5100,2117,1856,1937
5200,2182,1904,1995
5300,2221,1948,2023
5400,2257,2023,2062
5500,2343,2097,2120
5600,2409,2060,2156
5700,2488,2097,2233
5800,2486,2136,2269
5900,2511,2181,2294
6000,2603,2207,2328
6100,2586,2264,2365
6200,2635,2284,2384
6300,2713,2388,2522
6400,2694,2394,2457
6500,2744,2436,2535
6600,2802,2442,2565
6700,2875,2494,2574
6800,2887,2531,2641
6900,2912,2556,2658
7000,2948,2605,2706
7100,2977,2622,2708
7200,3017,2646,2754
7300,3204,2781,2932
7400,3401,2764,3046
7500,3250,2960,2968
7600,3335,2901,3006
7700,3478,2909,3186
7800,3349,3053,3031
7900,3554,2963,3085
8000,3501,3018,3097
8100,3451,3159,3413
8200,3599,3027,3226
8300,3545,3103,3186
8400,3587,3105,3254
8500,3623,3142,3274
8600,3691,3191,3320
8700,3719,3257,3370
8800,3766,3277,3433
8900,3821,3314,3433
9000,3859,3362,3482
9100,3882,3418,3525
9200,3933,3441,3597
9300,4001,3526,3681
9400,4060,3516,3677
9500,4131,3593,3735
9600,4181,3674,3776
9700,4216,3702,3831
9800,4249,3721,3882
9900,4306,3783,3907
10000,4344,3806,3940
