N,QuickSortRandom,QuickSortReverse,QuickSortAlmost
500,89,1217,968
600,99,1715,1732
700,131,1992,2189
800,213,2581,1754
900,175,3182,2228
1000,160,3384,2801
1100,155,3780,2332
1200,150,3600,2492
1300,147,4137,3101
1400,150,3905,1236
1500,155,4107,1338
1600,147,4337,1034
1700,146,4841,1628
1800,142,4815,1300
1900,137,5064,891
2000,144,5448,1250
2100,142,5928,734
2200,159,6461,652
2300,163,7636,1515
2400,170,7780,692
2500,179,8427,594
2600,192,9050,1400
2700,196,10395,1811
2800,206,10548,1664
2900,216,11354,1913
3000,227,12203,1142
3100,239,13108,2096
3200,233,13814,3338
3300,262,14799,4314
3400,247,15571,2702
3500,299,18512,2586
3600,303,18751,1531
3700,299,19641,1834
3800,302,20749,1205
3900,321,23807,1416
4000,329,22871,855
4100,355,24082,1627
4200,349,25226,3288
4300,367,26496,3105
4400,974,34729,1122
4500,399,28881,2297
4600,390,30881,2914
4700,400,31830,2027
4800,420,33960,1334
4900,379,32418,1369
5000,393,33962,3364
5100,409,35453,2422
5200,417,39174,1504
5300,434,38404,921
5400,426,39991,1286
5500,439,41335,3311
5600,452,42862,1244
5700,440,44134,1354
5800,464,45907,1834
5900,459,47569,1456
6000,480,49407,2678
6100,509,50898,1301
6200,490,52632,2938
6300,543,54356,5306
6400,527,56856,3139
6500,535,57882,1067
6600,550,59532,1261
6700,575,61394,3821
6800,561,63321,1502
6900,568,65094,3803
7000,570,66671,1578
7100,610,70266,2548
7200,626,74766,2867
7300,661,75799,1288
7400,706,78164,4276
7500,689,80579,2934
7600,692,84758,5872
7700,701,89874,1256
7800,707,86925,2350
7900,711,89085,5414
8000,724,92826,1538
8100,738,98804,2361
8200,724,104586,2673
8300,795,98341,1680
8400,772,106862,2626
8500,769,111353,6014
8600,773,113976,7418
8700,794,108666,3160
8800,842,110503,5862
8900,777,113183,2333
9000,822,115487,2055
9100,867,123917,1727
9200,838,120685,3902
9300,850,132875,2449
9400,902,137066,3144
9500,812,139798,2614
9600,879,141213,2291
9700,846,138986,5129
9800,922,136114,2173
9900,919,143436,3176
10000,927,152318,2137
